Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C6",0805,2,22uF,C45783
"C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C2, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C3, C30, C31, C32, C4, C5, C7, C8, C9",0603,30,100nF,C14663
"C33, C34, C35, C36",0402,4,22p,C1555
"C37, C38, C46",0402,3,10p,C32949
C39,0603,1,22pF,C1653
C40,1210,1,0.1uF/16V,
"C41, C42",CP_EIA-3216-18_Kemet-A,2,10u,C7171
C43,0805,1,0.01uF/16V,
C44,C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,1,10n,
C45,0402,1,100p,C1546
"D1, D2",D_SOD-323,2,1N5819WS,C64886
"D10, D19, D21, D23, D24, D3, D4, D5, D6, D7, D8, D9",LED_D3.0mm,12,LED_Dual_Bidirectional,
"D11, D12, D13, D14, D15, D16, D17, D18, D20, D22",D_SOD-323,10,1N4148WS,C2128
J1,PinHeader_2x05_2.54mm_Europower,1,POWER,
J10,AudioJack_PJ301M-12,1,Links_1to3_OUT1,
J11,AudioJack_PJ301M-12,1,Links_1to3_IN,
J12,AudioJack_PJ301M-12,1,Links_3to1_IN1,
J13,AudioJack_PJ301M-12,1,Links_1to3_OUT2,
J14,AudioJack_PJ301M-12,1,Links_3to1_IN2,
J15,AudioJack_PJ301M-12,1,Links_3to1_OUT,
J16,AudioJack_PJ301M-12,1,Links_1to3_OUT3,
J17,AudioJack_PJ301M-12,1,Links_3to1_IN3,
J18,AudioJack_PJ301M-12,1,Links_2to2_IN1,
J19,AudioJack_PJ301M-12,1,Links_2to2_IN2,
J2,AudioJack_PJ301M-12,1,OUT_1,
J20,AudioJack_PJ301M-12,1,Links_2to2_OUT1,
J21,AudioJack_PJ301M-12,1,Links_2to2_OUT2,
J22,AudioJack_PJ301M-12,1,Kinks_IN,
J23,AudioJack_PJ301M-12,1,Kinks_OUT_INV,
J24,AudioJack_PJ301M-12,1,Kinks_OUT_HW,
J25,AudioJack_PJ301M-12,1,Kinks_OUT_FW,
J26,AudioJack_PJ301M-12,1,Kinks_OUT_MAX,
J27,AudioJack_PJ301M-12,1,Kinks_IN_A,
J28,AudioJack_PJ301M-12,1,Kinks_IN_B,
J29,AudioJack_PJ301M-12,1,Kinks_OUT_MIN,
J3,AudioJack_PJ301M-12,1,IN_1,
J30,PinHeader_1x03_P2.54mm_Vertical,1,Jumper,
J31,AudioJack_PJ301M-12,1,Kinks_OUT_Noise,
J32,AudioJack_PJ301M-12,1,Kinks_OUT_S&H,
J33,AudioJack_PJ301M-12,1,Kinks_S&H_IN,
J34,AudioJack_PJ301M-12,1,Kinks_S&H_TRIG,
J35,AudioJack_PJ301M-12,1,OUT_+10V,
J36,AudioJack_PJ301M-12,1,IN_±5V,
J37,AudioJack_PJ301M-12,1,IN_+10V,
J38,AudioJack_PJ301M-12,1,OUT_±5V,
J39,AudioJack_PJ301M-12,1,IN,
J4,AudioJack_PJ301M-12,1,OUT_2,
J40,AudioJack_PJ301M-12,1,OUT_x1.25,
J41,AudioJack_PJ301M-12,1,OUT_x1.6,
J42,AudioJack_PJ301M-12,1,OUT_x2,
J5,AudioJack_PJ301M-12,1,IN_2,
J6,AudioJack_PJ301M-12,1,OUT_3,
J7,AudioJack_PJ301M-12,1,IN_3,
J8,AudioJack_PJ301M-12,1,OUT_4,
J9,AudioJack_PJ301M-12,1,IN_4,
"Q1, Q2",SOT-23,2,2SC1815,C20069143
Q3,SOT-23,1,MMBFJ310,
R1,0603,1,1K,C21190
"R10, R103, R104, R106, R107, R11, R110, R111, R112, R113, R114, R115, R116, R118, R119, R121, R127, R14, R15, R16, R17, R18, R19, R20, R21, R24, R25, R26, R27, R28, R29, R30, R31, R34, R35, R36, R37, R38, R39, R40, R41, R44, R46, R50, R51, R52, R55, R58, R59, R60, R61, R62, R70, R73, R75, R76, R8, R9, R92",0402,59,100K,C25741
"R100, R86, R87, R98, R99",0402,5,1M,C26083
"R101, R105",0402,2,10K,C25744
"R102, R109, R12, R13, R130, R22, R23, R32, R33, R42, R43, R56, R57, R65, R69, R88",0402,16,1K,C11702
